city,jan_avg,jul_avg
Amsterdam,3,17
Andorra la Vella,,
Athens,10,29
Belgrade,2,23
Berlin,-1,18
Bern,-1,17
Bratislava,-1,21
Brussels,3,18
Bucharest,-2,22
Budapest,-1,21
Chisinau,-3,21
Copenhagen,0,17
Dublin,5,16
Helsinki,-5,17
Kiev,-5,19
Lisbon,11,24
Ljubljana,-2,20
London,5,19
Luxembourg,0,18
Madrid,6,25
Minsk,-5,20
Monaco,10,24
Moscow,-8,19
Nicosia,11,26
Nuuk,-8,8
Oslo,-3,18
Paris,5,20
Podgorica,5,26
Prague,-1,18
Reykjavik,0,11
Riga,-4,17
Rome,8,26
San Marino,5,24
Sarajevo,-2,19
Skopje,1,24
Sofia,-1,21
Stockholm,-3,18
Tallinn,-4,18
Tirana,7,24
Vaduz,,
Vallett,,
Vienna,-1,19
Vilnius,-5,17
Warsaw,-2,18
Zagreb,0,21
