Rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.160,0.210
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.190,0.041
20,Czech Republic,6.852,1.269,1.487,0.920,0.457,0.046,0.036
2,Denmark,7.600,1.383,1.573,0.996,0.592,0.252,0.410
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
1,Finland,7.769,1.340,1.587,0.986,0.596,0.153,0.393
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
82,Greece,5.287,1.181,1.156,0.999,0.067,0.000,0.034
62,Hungary,5.758,1.201,1.410,0.828,0.199,0.081,0.020
4,Iceland,7.494,1.380,1.624,1.026,0.591,0.354,0.118
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.310
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.030
46,Kosovo,6.100,0.882,1.232,0.758,0.489,0.262,0.006
53,Latvia,5.940,1.187,1.465,0.812,0.264,0.075,0.064
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
14,Luxembourg,7.090,1.609,1.479,1.012,0.526,0.194,0.316
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
22,Malta,6.726,1.300,1.520,0.999,0.564,0.375,0.151
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.000
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.080
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.050
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
48,Romania,6.070,1.162,1.232,0.825,0.462,0.083,0.005
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
6,Switzerland,7.480,1.452,1.526,1.052,0.572,0.263,0.343
79,Turkey,5.373,1.183,1.360,0.808,0.195,0.083,0.106
133,Ukraine,4.332,0.820,1.390,0.739,0.178,0.187,0.010
15,United Kingdom,7.054,1.333,1.538,0.996,0.450,0.348,0.278
